Область знания,Объем финансирования,Фундаментальные исследования,Прикладные исследования,Поисковые исследования,Эксперементальные разработки
Всего,45103.4,19200,20177.6,5725.8,0
Общественные науки,36492.6,17400,13466.8,5625.8,0
Юридические науки,3452.2,0,3252.2,200,0
Информатика,1562,1400,162,0,0
Журналистика,934,0,934,0,0
Педагогика,11190,10600,590,0,0
Социология,330,0,330,0,0
Экономика,17594.4,4100,8068.6,5425.8,0
Языкознание,1430,1300,130,0,0
Есественные и точные науки,2030,1800,230,0,0
Математика,2030,1800,230,0,0
Технические и прикладные науки,6580.8,0,6480.8,100,0
Внешняя торговля,740,0,740,0,0
Транспорт,5140.8,0,5140.8,0,0
Физическая культура и спорт,700,0,600,100,0
Межотраслевые проблемы,0,0,0,0,0
